"filename", "language", "TOML", "Markdown", "Rust", "XML", "comment", "blank", "total"
"d:\FancyFlame\cream-rs\Cargo.toml", "TOML", 2, 0, 0, 0, 0, 1, 3
"d:\FancyFlame\cream-rs\README.md", "Markdown", 0, 3, 0, 0, 0, 2, 5
"d:\FancyFlame\cream-rs\cream_core\Cargo.toml", "TOML", 9, 0, 0, 0, 1, 3, 13
"d:\FancyFlame\cream-rs\cream_core\examples\style_macro.rs", "Rust", 0, 0, 72, 0, 0, 20, 92
"d:\FancyFlame\cream-rs\cream_core\src\element\mod.rs", "Rust", 0, 0, 32, 0, 5, 10, 47
"d:\FancyFlame\cream-rs\cream_core\src\element\proxy_layer.rs", "Rust", 0, 0, 48, 0, 0, 7, 55
"d:\FancyFlame\cream-rs\cream_core\src\element\render_content.rs", "Rust", 0, 0, 35, 0, 0, 8, 43
"d:\FancyFlame\cream-rs\cream_core\src\event\event_flow.rs", "Rust", 0, 0, 40, 0, 0, 11, 51
"d:\FancyFlame\cream-rs\cream_core\src\event\global_register\mod.rs", "Rust", 0, 0, 6, 0, 0, 4, 10
"d:\FancyFlame\cream-rs\cream_core\src\event\global_register\system_event_register.rs", "Rust", 0, 0, 70, 0, 0, 18, 88
"d:\FancyFlame\cream-rs\cream_core\src\event\listeners\add_listener.rs", "Rust", 0, 0, 28, 0, 0, 7, 35
"d:\FancyFlame\cream-rs\cream_core\src\event\listeners\chain.rs", "Rust", 0, 0, 17, 0, 0, 6, 23
"d:\FancyFlame\cream-rs\cream_core\src\event\listeners\mod.rs", "Rust", 0, 0, 38, 0, 0, 13, 51
"d:\FancyFlame\cream-rs\cream_core\src\event\listeners\owned\mod.rs", "Rust", 0, 0, 64, 0, 0, 15, 79
"d:\FancyFlame\cream-rs\cream_core\src\event\listeners\owned\output.rs", "Rust", 0, 0, 32, 0, 0, 8, 40
"d:\FancyFlame\cream-rs\cream_core\src\event\mod.rs", "Rust", 0, 0, 5, 0, 0, 3, 8
"d:\FancyFlame\cream-rs\cream_core\src\lib.rs", "Rust", 0, 0, 14, 0, 0, 5, 19
"d:\FancyFlame\cream-rs\cream_core\src\macro_helper\chain_caller.rs", "Rust", 0, 0, 17, 0, 0, 5, 22
"d:\FancyFlame\cream-rs\cream_core\src\macro_helper\for_loop.rs", "Rust", 0, 0, 20, 0, 0, 3, 23
"d:\FancyFlame\cream-rs\cream_core\src\macro_helper\mod.rs", "Rust", 0, 0, 4, 0, 0, 2, 6
"d:\FancyFlame\cream-rs\cream_core\src\primary.rs", "Rust", 0, 0, 40, 0, 2, 9, 51
"d:\FancyFlame\cream-rs\cream_core\src\render\mod.rs", "Rust", 0, 0, 85, 0, 0, 11, 96
"d:\FancyFlame\cream-rs\cream_core\src\structure\add_child.rs", "Rust", 0, 0, 101, 0, 8, 12, 121
"d:\FancyFlame\cream-rs\cream_core\src\structure\branch.rs", "Rust", 0, 0, 58, 0, 0, 10, 68
"d:\FancyFlame\cream-rs\cream_core\src\structure\chain.rs", "Rust", 0, 0, 32, 0, 0, 7, 39
"d:\FancyFlame\cream-rs\cream_core\src\structure\mod.rs", "Rust", 0, 0, 73, 0, 6, 17, 96
"d:\FancyFlame\cream-rs\cream_core\src\structure\repeating.rs", "Rust", 0, 0, 85, 0, 0, 14, 99
"d:\FancyFlame\cream-rs\cream_core\src\structure\slot.rs", "Rust", 0, 0, 62, 0, 0, 9, 71
"d:\FancyFlame\cream-rs\cream_core\src\style\add_style.rs", "Rust", 0, 0, 19, 0, 0, 5, 24
"d:\FancyFlame\cream-rs\cream_core\src\style\branch.rs", "Rust", 0, 0, 18, 0, 0, 3, 21
"d:\FancyFlame\cream-rs\cream_core\src\style\chain.rs", "Rust", 0, 0, 24, 0, 0, 4, 28
"d:\FancyFlame\cream-rs\cream_core\src\style\mod.rs", "Rust", 0, 0, 23, 0, 25, 8, 56
"d:\FancyFlame\cream-rs\cream_core\src\style\reader.rs", "Rust", 0, 0, 49, 0, 0, 6, 55
"d:\FancyFlame\cream-rs\cream_core\src\style\units.rs", "Rust", 0, 0, 4, 0, 0, 2, 6
"d:\FancyFlame\cream-rs\cream_kit\Cargo.toml", "TOML", 6, 0, 0, 0, 1, 3, 10
"d:\FancyFlame\cream-rs\cream_kit\src\event.rs", "Rust", 0, 0, 10, 0, 0, 3, 13
"d:\FancyFlame\cream-rs\cream_kit\src\lib.rs", "Rust", 0, 0, 1, 0, 0, 1, 2
"d:\FancyFlame\cream-rs\cream_macros\Cargo.toml", "TOML", 11, 0, 0, 0, 1, 4, 16
"d:\FancyFlame\cream-rs\cream_macros\examples\t.rs", "Rust", 0, 0, 11, 0, 0, 2, 13
"d:\FancyFlame\cream-rs\cream_macros\src\element\cmd.rs", "Rust", 0, 0, 15, 0, 0, 3, 18
"d:\FancyFlame\cream-rs\cream_macros\src\element\mod.rs", "Rust", 0, 0, 45, 0, 0, 12, 57
"d:\FancyFlame\cream-rs\cream_macros\src\element\stmt.rs", "Rust", 0, 0, 15, 0, 0, 4, 19
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\ca.rs", "Rust", 0, 0, 50, 0, 0, 11, 61
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\mod.rs", "Rust", 0, 0, 3, 0, 0, 1, 4
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_if.rs", "Rust", 0, 0, 81, 0, 12, 15, 108
"d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_match.rs", "Rust", 0, 0, 98, 0, 7, 14, 119
"d:\FancyFlame\cream-rs\cream_macros\src\expr\mod.rs", "Rust", 0, 0, 81, 0, 0, 15, 96
"d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\mod.rs", "Rust", 0, 0, 2, 0, 0, 1, 3
"d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\state_for.rs", "Rust", 0, 0, 49, 0, 3, 7, 59
"d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\state_while.rs", "Rust", 0, 0, 48, 0, 0, 7, 55
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_block.rs", "Rust", 0, 0, 72, 0, 1, 9, 82
"d:\FancyFlame\cream-rs\cream_macros\src\expr\state_command.rs", "Rust", 0, 0, 68, 0, 0, 9, 77
"d:\FancyFlame\cream-rs\cream_macros\src\lib.rs", "Rust", 0, 0, 39, 0, 1, 6, 46
"d:\FancyFlame\cream-rs\cream_macros\src\style\mod.rs", "Rust", 0, 0, 45, 0, 0, 14, 59
"d:\FancyFlame\cream-rs\cream_macros\src\style\stmt.rs", "Rust", 0, 0, 131, 0, 0, 18, 149
"d:\FancyFlame\cream-rs\cream_macros\src\t.rs", "Rust", 0, 0, 26, 0, 0, 4, 30
"d:\FancyFlame\cream-rs\cream_macros\src\uninit_type\mod.rs", "Rust", 0, 0, 63, 0, 0, 12, 75
"d:\FancyFlame\cream-rs\cream_macros\src\uninit_type\set.rs", "Rust", 0, 0, 60, 0, 0, 11, 71
"d:\FancyFlame\cream-rs\cream_winit\Cargo.toml", "TOML", 5, 0, 0, 0, 1, 3, 9
"d:\FancyFlame\cream-rs\cream_winit\src\lib.rs", "Rust", 0, 0, 12, 0, 0, 3, 15
"d:\FancyFlame\cream-rs\documentation\comp_mngr\summary.md", "Markdown", 0, 22, 0, 0, 0, 7, 29
"d:\FancyFlame\cream-rs\documentation\element\computed.md", "Markdown", 0, 83, 0, 0, 0, 20, 103
"d:\FancyFlame\cream-rs\documentation\element\responsible_data.md", "Markdown", 0, 25, 0, 0, 0, 7, 32
"d:\FancyFlame\cream-rs\documentation\element\style.md", "Markdown", 0, 47, 0, 0, 0, 14, 61
"d:\FancyFlame\cream-rs\documentation\element\summary.md", "Markdown", 0, 26, 0, 0, 0, 10, 36
"d:\FancyFlame\cream-rs\documentation\index.md", "Markdown", 0, 85, 0, 0, 0, 16, 101
"d:\FancyFlame\cream-rs\documentation\renderer.md", "Markdown", 0, 13, 0, 0, 0, 3, 16
"d:\FancyFlame\cream-rs\documentation\summary.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"Total", "-", 33, 304, 2240, 1, 74, 537, 3189
